Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Aug,57.625,-13.06451613,-19.83870968,-39.64516129,-38.80645161,10.09677419,117,Havering,1496
Sep,35.65,-9.333333333,-19.73333333,-32.23333333,-33.43333333,8.8,491,Havering,1470
Oct,3.129032258,-8.709677419,-23.03225806,-35.06451613,-30.58064516,10.61290323,1613,Havering,1622
Nov,3.933333333,-9.5,-46.13333333,-42.9,-37.16666667,14.86666667,3542,Havering,1341
Dec,-6.612903226,-4.967741935,-38.35483871,-47.03225806,-45.61290323,17.06451613,11392,Havering,1298
Mar,4.612903226,2.451612903,-28.77419355,-37.19354839,-24.64516129,10.83870968,274,Hillingdon,2150
Apr,31.73333333,-34.7,-76.76666667,-84.7,-68.23333333,27.76666667,587,Hillingdon,1595
May,106,-22.32258065,-68.5483871,-81.74193548,-58,22.96774194,156,Hillingdon,1972
Jun,99.36666667,-14.93333333,-57.1,-77.33333333,-47,18.96666667,67,Hillingdon,2150
Jul,109.6129032,-13.61290323,-38.93548387,-69.74193548,-42.77419355,14.74193548,74,Hillingdon,2139
Aug,104.8125,-14.16129032,-25.64516129,-63.64516129,-41.22580645,11.22580645,165,Hillingdon,2263
Sep,103.7,-7.8,-22.76666667,-59.6,-33.53333333,9.7,493,Hillingdon,2168
Oct,44.09677419,-9.129032258,-28.4516129,-60,-30.19354839,11.51612903,1935,Hillingdon,2146
Nov,51.06666667,-8.233333333,-44.33333333,-67.86666667,-35.86666667,15.16666667,2554,Hillingdon,2157
Dec,28,-6.290322581,-36.90322581,-65.29032258,-42,16.48387097,7824,Hillingdon,1732
Mar,1.064516129,-3.612903226,-25.16129032,-29.09677419,-25.48387097,11.06451613,256,Hounslow,2081
Apr,8.433333333,-33.16666667,-71.13333333,-69.43333333,-69.4,27.8,552,Hounslow,1783
May,66.87096774,-20.35483871,-61.38709677,-59.16129032,-60.09677419,22.87096774,150,Hounslow,1928
Jun,72.93333333,-12.86666667,-46.6,-50,-48.7,19.16666667,91,Hounslow,1960
Jul,80.5483871,-13.70967742,-30.77419355,-43.48387097,-44.16129032,14.74193548,70,Hounslow,2184
